Package,Before Lines %,After Lines %,Delta Lines,Before Regions %,After Regions %,Delta Regions,Tests Count,Test Status,Changed Files,Notes
BannerCoreKit,98.5,98.5,0.0,95.8,95.8,0.0,5,passed,,Already 98.5% covered; single uncovered line is JSONEncoder-failure guard (unreachable for simple Codable). No changes needed.
FactoryGitOK,35.7,49.2,13.5,29.7,44.3,14.6,26,passed,Tests/FactoryGitOKTests/FactoryGitOKCoverageTests.swift,"Added tests for FactoryGitOK entry wrappers, KernelFactory no-arg view entries, DefaultViewFactory assembly branches (empty kernel placeholders + real kernel), syncLumiTheme. AppCommands.swift (323 lines, AppKit menu installer) remains 0% - requires running NSApplication main menu."
KitGit,74.9,78.6,3.7,63.7,67.2,3.5,35,passed,Tests/KitGitTests/GitKitGapsTests.swift,"Added submodule list parsing tests (real submodule), GitNetworkConfig.Configuration struct + read-only loadGlobal, GitConfigReader.globalValue unique key, GitTagOperation error branches (invalidCommit/invalidRemote/deleteFailed). GitNetworkConfig and GitSubmoduleOperation now near-covered; off-by-one in submodule path parsing left as-is per no-runtime-behavior-change rule."
KitGitOKSupport,81.2,81.2,0.0,77.8,77.8,0.0,6,passed,,已高于 80% 目标；MagicBackgroundGroup 纯函数与 Picker body 已有冒烟测试覆盖。UI 为主，逻辑已抽取。
KitGitOKUpdate,20.7,43.3,22.6,17.4,37.6,20.2,15,passed,Tests/KitGitOKUpdateTests/KitGitOKUpdateTests.swift,"Added tests for state machine edge cases (markError/reset/finishCheckingIfNeeded), FeedURLDetector caching & forceRedetect, notification posting, UpdateRequestObserver dispatch/cancel, runtime env default. UpdateService.swift (128 lines) remains 0%: it is a Sparkle-coupled @MainActor singleton whose delegate methods require SUAppcastItem/SPUUpdater instances; refactoring for testability would risk changing runtime behavior. AppUpdateBootstrap also depends on the singleton."
KitLocalization,93.0,95.7,2.7,86.4,92.0,5.6,14,passed,Tests/KitLocalizationTests/LumiLocalizationAdditionalTests.swift,"Already at 93%. Added zh-HK/zh-Hant fallback, bare zh normalization, English, missing localizations skip tests."
KitOpenIn,15.3,24.4,9.1,24.8,46.5,21.7,12,passed,Tests/KitOpenInTests/KitOpenInCoverageTests.swift,"UI 为主：Views (OpenInPluginBase) require KernelCore container and stay uncovered. Added OpenTarget all-case switch coverage (systemImage/displayName/toolbarOrder/bundleIdentifier/fallbackPaths) and AppLauncher.webURL edge cases (scp/https no .git, trimmed, empty). Logic extracted via pure enum switches."
KitSuperLog,97.0,98.3,1.3,83.8,84.8,1.0,25,passed,Tests/KitSuperLogLocalizationTests.swift,补充 LumiLocalization 薄包装测试；其余逻辑（日志级别/格式化/文件管理）已由既有测试覆盖。
PluginAboutSettings,,5.8,,,18.2,,3,test_failed_before_fix,Tests/PluginAboutSettingsTests/PluginAboutSettingsTests.swift,Baseline failed: pre-existing test expected metadata.policy == .alwaysOn but code has .disabled. Fixed test to match .disabled and added metadata/localization smoke tests. Package is UI-heavy: AboutView.body is 222 lines of SwiftUI DSL that does not execute in unit tests; only computed properties (Bundle.main lookups) and plugin metadata are testable. UI为主，逻辑已抽取（Bundle 读取）。
PluginActivityHeatmap,56.6,79.6,23.0,47.1,74.8,27.7,14,passed,Package.swift; Tests/PluginActivityHeatmapTests/LocalActivityHeatmapProviderAdditionalTests.swift,"Added tests for nil repo, error path, observer events/cancel, same-value guards, empty snapshot, pagination, plugin onBoot missing providers. Added ProviderActivityHeatmap test dependency."
PluginActivityStatus,5.9,5.9,0.0,12.9,12.9,0.0,2,passed,Tests/PluginActivityStatusTests/PluginActivityStatusTests.swift,"Fixed pre-existing failing test: source policy is .disabled, test expected .alwaysOn. Added metadata assertions. UI + plugin lifecycle requiring KernelCore container; no extractable pure logic beyond metadata."
PluginBanner,28.5,46.9,18.4,31.9,61.6,29.7,12,passed,Tests/PluginBannerTests/BannerWorkspaceModelTests.swift,新增 BannerWorkspaceModel 全生命周期测试（create/select/delete/save/export/draft reload）、导出设备枚举、错误描述、repository imageID/imageURL 边界、localization。剩余未覆盖为 BannerWorkspaceView(300行)/BannerAboutView(99行)/BannerPlugin 等纯 SwiftUI 视图与内核胶水，需 KernelCore 容器渲染，ROI 低。
PluginCloneRepository,0.0,5.9,5.9,0.0,13.9,13.9,8,passed,Sources/PluginCloneRepository/CloneRepositoryPlugin.swift; Tests/PluginCloneRepositoryTests/PluginCloneRepositoryTests.swift,"Baseline 0%. Changed private extension CloneTaskStatus{title,icon,color} to internal for testability (no behavior change). Tested metadata, status display switch branches, isActive, error descriptions, CloneTask Codable round-trip. The private CloneRepositoryService (500+ lines of stateful clone lifecycle) remains untested: it requires a full GitProviding mock (~50 protocol methods) which is disproportionately expensive; UI view also untested."
PluginCoAuthorSettings,1.7,8.8,7.1,3.5,16.5,13.0,7,passed,Tests/PluginCoAuthorSettingsTests/CoAuthorSettingsAdditionalTests.swift,UI 为主，逻辑已抽取. 535 lines of SwiftUI views remain 0% (requires running app host). Localization parser and plugin empty-kernel paths covered.
PluginCommand,30.5,44.1,13.6,30.4,62.5,32.1,8,passed,Tests/PluginCommandTests/CommandManagerTests.swift,Added CommandManager tests: register/replace/unregister/unknown no-op/observer lifecycle/cancel-stops-notify. Observer weak-reference handle must be retained in tests.
PluginCommitDetail,17.8,19.0,1.2,21.8,25.0,3.2,14,passed,Tests/PluginCommitDetailTests/CommitDetailChangeColorsTests.swift,CommitDetailViewModel 100%、CommitFilePageStore 92.5% 已由既有测试覆盖；新增 CommitDetailChangeColors 全部 7 个 status 分支与 worktree/staged 矩阵、localization 包装。剩余为 WorktreeChangesView(1545行)/Layout(858行) 纯 SwiftUI 视图，UI 为主，逻辑已抽取。
PluginCommitForm,7.7,8.1,0.4,9.4,10.1,0.7,10,passed,Tests/PluginCommitFormTests/PluginCommitFormTests.swift,"Added CommitFormErrorCenter present/dismiss/overwrite tests (now 100%). Package is UI-heavy: CommitFormView is 1215 lines of SwiftUI DSL, plus Overlay/About/ToolbarStylePicker views (500+ lines). Non-UI logic (plugin lifecycle, scene observer, error center) already covered. UI为主，逻辑已抽取."
PluginCommitList,2.0,3.1,1.1,2.9,5.2,2.3,7,passed,Tests/PluginCommitListTests/CommitAvatarServiceTests.swift,UI 为主，逻辑已抽取. 4493 lines of SwiftUI views (CommitRailView 4061 lines) remain 0%. Avatar service cache/normalization paths covered.
PluginCommitStatusBar,,34.7,,,42.9,,3,passed,Tests/PluginCommitStatusBarTests/CommitStatusBarPluginTests.swift,Pre-existing test was failing: onBoot now requires WorkspaceSceneProviding registered in kernel; test kernel lacked it. Registered DefaultWorkspaceSceneProvider. After fix tests pass. UI-heavy plugin wiring.
PluginCommitToast,32.5,36.1,3.6,50.0,65.4,15.4,8,passed,Tests/PluginCommitToastTests/CommitToastPluginTests.swift,新增 onBoot 缺少 ProjectProviding / 缺少 ToastProviding 两条 error 分支测试。onRegister/onUnregister 需 DocsViewProviding（ObservableObject @MainActor 协议）Mock，隔离冲突未强行覆盖；AboutView 为纯 UI。
PluginDiagnosticsSettings,,3.6,,,9.5,,1,test_failed_before_fix,Tests/PluginDiagnosticsSettingsTests/PluginDiagnosticsSettingsTests.swift,Baseline failed: pre-existing test expected policy .alwaysOn but code has .disabled. Fixed to .disabled. UI-heavy: DiagnosticsSettingView (163 lines) and AboutView (99 lines) are SwiftUI. Only plugin metadata tested. UI为主.
PluginFileInfo,,8.8,,,14.9,,6,passed,Tests/PluginFileInfoTests/PluginFileInfoTests.swift; Tests/PluginFileInfoTests/FileInfoAdditionalTests.swift,"Fixed pre-existing failing test (expected .alwaysOn, source has .disabled). Added empty-kernel lifecycle tests and localization passthrough."
PluginGitAutoPush,2.4,2.4,0.0,,,0.0,2,passed,Tests/PluginGitAutoPushTests/PluginGitAutoPushTests.swift,UI 为主，逻辑已抽取。Metadata assertions already covered; added order/itemID checks. Provider wiring + SwiftUI views dominate.
PluginGitBranchStatus,0.8,0.8,0.0,1.4,1.4,0.0,1,passed,,GitBranchStatusViewModel 已 100% 覆盖；包内 3049 行中 BranchManagementView(1699行)/BranchPickerPopoverView(646行) 为纯 SwiftUI。Observer 需 Mock 大型 GitProviding/GitRepositoryWatching 协议，ROI 低。UI 为主，逻辑已抽取。
PluginGitCLI,2.6,3.2,0.6,3.0,3.4,0.4,2,passed,Tests/PluginGitCLITests/PluginGitCLITests.swift,GitCLIBackend is 352 lines of pure delegation to KitGit static git operations; each method would need a real on-disk git repo to exercise. Only descriptor/isAvailable tested. UI AboutView also untested.
PluginGitCommitStyleSettings,2.8,7.5,4.7,11.4,28.6,17.2,6,passed,Tests/PluginGitCommitStyleSettingsTests/GitCommitStyleSettingsLifecycleTests.swift,UI 为主，逻辑已抽取. Added empty-kernel lifecycle tests for onBoot/onRegister/onUnregister/onShutdown.
PluginGitConflictResolver,4.3,4.8,0.5,,,,6,passed,Tests/PluginGitConflictResolverTests/PluginGitConflictResolverTests.swift,ViewModel reached 100% via present() no-op/reset-on-project-change/cherry-pick flag/resolvedFiles cleared. Remaining gap is large SwiftUI Views (ConflictResolverList ~1280 lines).
PluginGitDiff,17.9,20.1,2.2,21.9,29.6,7.7,18,passed,Tests/PluginGitDiffTests/GitDiffContentTests.swift,GitDiffContentDetector 提升至 99.2%：新增 video/office 扩展识别、isLikelyText 边界、MPEG-TS 192/204 包长与坏同步/保留 adaptation 拒绝、preview 错误描述、ContentKind systemImage/title 全分支。剩余为 DiffView(1151行) 纯 UI。
PluginGitIgnore,,2.3,,,4.1,,1,test_failed_before_fix,Tests/PluginGitIgnoreTests/PluginGitIgnoreTests.swift,Baseline failed: pre-existing test expected .alwaysOn but code has .disabled. Fixed. UI-heavy: Viewer/StatusIcon/Skeleton/About views (390 lines SwiftUI). Only metadata tested. UI为主.
PluginGitLFS,7.3,8.5,1.2,14.3,17.1,2.8,6,passed,Tests/PluginGitLFSTests/GitLFSPluginLifecycleTests.swift,Added empty-kernel lifecycle tests. Scanner coverage varies between runs due to test discovery ordering.
PluginGitLibGit2,3.5,6.2,2.7,,,,4,passed,Tests/PluginGitLibGit2Tests/PluginGitLibGit2Tests.swift,"Added defaultRepositoryName parsing (https/scp/bare), webURL conversion, cherryPickStatus inactive on clean repo."
PluginGitNetworkSettings,,2.0,,,5.4,,1,passed,Tests/PluginGitNetworkSettingsTests/PluginGitNetworkSettingsTests.swift,基线测试失败（断言 metadata.policy == .alwaysOn，但源文件声明 .disabled），导致脚本非零退出无覆盖率数据。已修正测试断言为 .disabled 使其通过。包内 544 行中 GitNetworkSettingView(398行) 为纯设置 UI。
PluginGitRemoteRepository,,1.4,,,3.1,,1,test_failed_before_fix,Tests/PluginGitRemoteRepositoryTests/PluginGitRemoteRepositoryTests.swift,Baseline failed: pre-existing test expected .alwaysOn but code has .disabled. Fixed. UI-heavy: RemoteRepositoryView is 473 lines SwiftUI. Only metadata tested. UI为主.
